timestamp,location_name,requests,drivers,weather,event,base_fare,actual_price_paid
2025-11-03 13:52:54,Mall,60,30,Rainy,None,123,226.32
2025-11-03 17:40:54,Airport,125,149,Clear,None,132,132.0
2025-11-06 08:06:54,Suburbs,52,40,Clear,None,115,124.2
2025-10-23 17:46:54,City Center,184,128,Rainy,None,117,162.63
2025-10-30 23:44:54,Mall,44,42,Clear,None,107,107.0
2025-11-21 01:51:54,Mall,46,42,Clear,None,128,128.0
2025-10-28 09:10:54,Suburbs,86,81,Clear,Sports,139,139.0
2025-11-09 11:13:54,Suburbs,57,52,Clear,None,140,140.0
2025-11-19 00:41:54,Tech Park,88,53,Clear,Conference,110,150.51
2025-11-07 21:19:54,Tech Park,86,45,Rainy,None,106,187.5
2025-10-29 10:29:54,Airport,65,67,Clear,None,139,139.0
2025-10-31 05:22:54,Tech Park,55,51,Clear,None,113,113.0
2025-11-10 06:43:54,City Center,110,100,Rainy,None,148,177.6
2025-11-21 10:40:54,Suburbs,72,40,Rainy,None,112,188.16
2025-11-03 20:35:54,City Center,206,231,Clear,Sports,127,127.0
2025-10-26 03:04:54,Suburbs,49,56,Foggy,None,100,100.0
2025-10-24 12:23:54,Suburbs,48,32,Foggy,None,143,177.32
2025-10-24 01:40:54,Mall,54,63,Clear,None,111,111.0
2025-11-09 05:35:54,Suburbs,62,39,Clear,None,136,178.4
2025-11-19 10:20:54,Mall,44,46,Clear,None,116,116.0
2025-11-10 04:59:54,Tech Park,77,83,Clear,Conference,108,108.0
2025-11-21 20:24:54,Suburbs,100,81,Rainy,None,118,144.86
2025-10-31 12:48:54,Airport,67,45,Clear,None,127,156.35
2025-10-29 05:57:54,City Center,73,79,Cloudy,None,148,148.0
2025-10-25 00:46:54,Mall,71,54,Cloudy,None,118,128.84
2025-11-03 03:08:54,Tech Park,60,69,Foggy,None,135,135.0
2025-11-22 01:22:54,Airport,78,69,Clear,None,134,134.0
2025-11-12 12:00:54,Tech Park,55,61,Clear,None,116,116.0
2025-10-26 21:32:54,Suburbs,83,98,Clear,None,144,144.0
2025-10-29 16:31:54,Tech Park,70,49,Rainy,None,104,143.82
2025-11-11 19:20:54,Tech Park,155,180,Clear,None,128,128.0
2025-11-04 17:30:54,Mall,91,107,Clear,None,134,134.0
2025-10-24 02:16:54,Tech Park,58,40,Clear,None,124,148.8
2025-11-15 08:22:54,Mall,70,66,Rainy,None,101,121.2
2025-11-04 02:15:54,City Center,69,64,Clear,None,141,141.0
2025-11-05 22:27:54,Suburbs,38,37,Clear,None,119,119.0
2025-10-25 06:05:54,City Center,110,104,Clear,None,131,131.0
2025-10-31 05:23:54,Airport,80,49,Clear,None,114,153.46
2025-11-13 06:26:54,Suburbs,49,35,Clear,None,129,149.64
2025-10-26 11:39:54,Airport,61,52,Clear,None,125,125.0
2025-11-10 04:33:54,City Center,85,97,Clear,None,146,146.0
2025-10-29 00:42:54,City Center,133,132,Clear,Sports,104,104.0
2025-10-29 06:07:54,City Center,59,65,Clear,None,104,104.0
2025-11-13 08:56:54,City Center,107,84,Rainy,None,109,137.24
2025-11-02 09:06:54,Airport,87,96,Clear,None,104,104.0
2025-11-03 23:21:54,City Center,98,81,Clear,None,132,133.04
2025-10-26 09:17:54,Tech Park,131,94,Foggy,None,128,147.83
2025-11-06 20:08:54,City Center,126,99,Clear,None,125,132.27
2025-11-03 05:42:54,City Center,68,66,Foggy,None,128,128.0
2025-10-28 20:20:54,Tech Park,66,71,Foggy,None,148,148.0
2025-11-04 18:23:54,Suburbs,71,79,Clear,None,148,148.0
2025-11-06 14:27:54,Tech Park,83,72,Rainy,None,121,145.2
2025-10-24 02:15:54,City Center,141,165,Clear,Festival,130,130.0
2025-11-15 01:04:54,Suburbs,78,62,Rainy,None,135,168.27
2025-10-24 10:04:54,Tech Park,79,68,Clear,None,122,122.0
2025-10-29 19:21:54,Suburbs,82,54,Clear,None,106,133.01
2025-11-07 15:54:54,Tech Park,54,35,Clear,None,118,150.37
2025-11-12 06:12:54,Suburbs,56,36,Clear,None,143,183.68
2025-11-19 01:06:54,Tech Park,49,41,Clear,None,119,119.0
2025-11-01 17:13:54,Tech Park,239,168,Rainy,None,124,170.88
2025-11-15 22:28:54,Suburbs,56,64,Clear,None,136,136.0
2025-11-10 13:03:54,Airport,62,74,Clear,None,102,102.0
2025-11-05 20:44:54,Tech Park,97,64,Cloudy,Festival,107,134.02
2025-10-30 02:14:54,City Center,82,97,Clear,None,126,126.0
2025-11-20 10:37:54,City Center,74,47,Clear,None,105,136.46
2025-10-27 13:50:54,Suburbs,65,60,Clear,Concert,104,104.0
2025-10-24 07:32:54,Suburbs,69,57,Foggy,Conference,121,122.02
2025-10-28 10:47:54,Tech Park,97,61,Foggy,None,105,137.77
2025-11-01 11:20:54,Tech Park,98,114,Cloudy,Conference,109,109.0
2025-11-01 22:53:54,City Center,89,100,Clear,None,139,139.0
2025-11-22 07:40:54,City Center,96,105,Clear,None,149,149.0
2025-11-18 09:28:54,Tech Park,109,96,Cloudy,None,122,122.0
2025-10-24 11:29:54,Airport,85,54,Rainy,None,133,199.4
2025-10-29 04:14:54,Suburbs,76,81,Clear,Concert,129,129.0
2025-10-26 23:31:54,Suburbs,83,70,Rainy,None,119,142.8
2025-11-18 06:09:54,Mall,53,34,Clear,None,122,157.02
2025-11-20 11:15:54,Suburbs,42,35,Clear,None,131,131.0
2025-11-17 15:11:54,Suburbs,44,35,Cloudy,None,141,147.45
2025-11-18 01:45:54,City Center,76,51,Clear,None,125,154.02
2025-11-03 21:59:54,City Center,146,134,Rainy,None,116,139.2
2025-11-13 05:58:54,Tech Park,62,65,Clear,None,113,113.0
2025-11-04 05:45:54,City Center,85,89,Clear,None,144,144.0
2025-11-20 16:38:54,Suburbs,55,51,Clear,None,116,116.0
2025-11-13 09:23:54,City Center,76,61,Clear,None,140,145.14
2025-11-11 04:11:54,Suburbs,72,47,Rainy,None,136,199.31
2025-11-05 21:20:54,Airport,97,67,Clear,None,147,176.14
2025-11-11 10:56:54,Tech Park,78,79,Clear,None,123,123.0
2025-11-19 01:47:54,Tech Park,80,87,Clear,Concert,101,101.0
2025-10-24 04:43:54,Suburbs,54,56,Clear,None,111,111.0
2025-10-25 00:45:54,Airport,73,67,Clear,None,132,132.0
2025-10-23 14:46:54,Suburbs,54,36,Clear,None,108,133.92
2025-11-05 22:53:54,City Center,88,97,Clear,None,143,143.0
2025-11-22 10:06:54,City Center,200,166,Rainy,Sports,121,145.67
2025-10-27 17:48:54,Tech Park,162,115,Foggy,None,118,137.7
2025-11-09 05:27:54,Airport,86,74,Cloudy,None,139,139.0
2025-11-12 04:10:54,Tech Park,68,44,Rainy,None,146,215.55
2025-11-05 08:58:54,City Center,78,80,Clear,None,141,141.0
2025-11-07 20:28:54,City Center,128,153,Foggy,None,132,132.0
2025-11-14 22:31:54,Tech Park,47,31,Clear,None,135,169.14
2025-10-28 00:36:54,Airport,70,74,Clear,None,126,126.0
2025-11-04 01:15:54,Suburbs,52,61,Clear,None,139,139.0
2025-10-31 02:26:54,City Center,83,56,Clear,None,117,143.41
2025-11-04 16:05:54,City Center,96,82,Rainy,None,136,163.2
2025-11-19 12:04:54,Airport,79,41,Rainy,None,140,249.4
2025-10-26 05:54:54,Mall,51,56,Clear,None,100,100.0
2025-11-16 15:39:54,Suburbs,57,41,Clear,None,125,144.02
2025-11-01 19:01:54,City Center,165,146,Clear,None,126,126.0
2025-11-17 20:45:54,Suburbs,111,77,Clear,Concert,123,146.77
2025-11-18 09:45:54,Suburbs,74,69,Rainy,None,148,177.6
2025-11-18 07:28:54,Suburbs,80,51,Clear,Conference,122,157.98
2025-10-25 07:59:54,City Center,86,75,Foggy,None,139,139.0
2025-11-08 23:27:54,City Center,135,90,Rainy,None,137,197.28
2025-11-10 07:59:54,City Center,99,75,Clear,None,145,158.92
2025-11-04 00:35:54,City Center,103,50,Rainy,None,146,275.65
2025-10-25 21:37:54,City Center,180,148,Rainy,None,145,175.88
2025-11-05 17:59:54,Mall,73,47,Cloudy,None,109,139.8
2025-11-03 17:49:54,City Center,123,139,Clear,None,146,146.0
2025-11-08 17:53:54,Suburbs,92,89,Clear,None,137,137.0
2025-10-24 11:56:54,Suburbs,65,44,Clear,None,109,133.18
2025-11-05 20:20:54,Mall,75,78,Clear,None,101,101.0
2025-11-21 05:13:54,Suburbs,48,54,Clear,None,133,133.0
2025-10-29 20:33:54,City Center,122,113,Cloudy,None,124,124.0
2025-11-01 13:12:54,City Center,111,106,Clear,None,111,111.0
2025-10-29 14:43:54,Suburbs,56,45,Foggy,None,142,147.05
2025-11-05 23:27:54,City Center,124,113,Rainy,None,138,165.6
2025-11-14 11:00:54,Suburbs,64,46,Clear,None,135,155.66
2025-10-29 19:39:54,City Center,120,96,Clear,None,125,130.0
2025-11-20 15:42:54,City Center,80,68,Clear,None,138,138.0
2025-11-09 12:31:54,Tech Park,78,50,Rainy,None,143,212.78
2025-10-26 10:47:54,Mall,84,78,Rainy,None,118,141.6
2025-10-27 16:52:54,Airport,113,91,Rainy,None,140,172.68
2025-11-12 00:12:54,Tech Park,51,31,Cloudy,None,106,143.75
2025-10-26 13:09:54,City Center,105,66,Clear,None,134,175.91
2025-11-18 11:42:54,Suburbs,67,47,Rainy,None,102,140.8
2025-11-13 08:23:54,Suburbs,65,55,Rainy,None,124,148.8
2025-10-28 20:41:54,Airport,96,107,Foggy,None,129,129.0
2025-11-18 09:11:54,Tech Park,154,129,Clear,Sports,143,143.0
2025-11-01 15:01:54,Suburbs,48,43,Clear,None,100,100.0
2025-11-15 08:10:54,City Center,108,102,Clear,None,147,147.0
2025-11-10 03:57:54,Mall,48,56,Clear,None,136,136.0
2025-11-21 16:55:54,Suburbs,52,62,Cloudy,None,106,106.0
2025-11-02 22:56:54,City Center,88,59,Clear,None,142,175.12
2025-11-04 15:17:54,City Center,109,88,Rainy,None,123,151.4
2025-11-09 16:15:54,Tech Park,61,57,Clear,None,133,133.0
2025-11-04 21:11:54,Tech Park,86,85,Clear,None,104,104.0
2025-11-03 10:22:54,Suburbs,55,35,Clear,None,147,190.68
2025-10-25 16:57:54,Tech Park,71,81,Cloudy,None,102,102.0
2025-10-24 17:08:54,Airport,112,125,Clear,None,127,127.0
2025-11-14 08:07:54,Tech Park,147,113,Rainy,None,137,175.46
2025-11-08 06:11:54,Tech Park,71,77,Cloudy,None,129,129.0
2025-11-22 03:31:54,City Center,96,74,Foggy,None,145,156.29
2025-10-30 11:19:54,Mall,73,61,Rainy,None,105,126.0
2025-10-31 01:03:54,Tech Park,76,88,Clear,Conference,128,128.0
2025-11-04 04:18:54,Mall,65,32,Rainy,None,109,203.28
2025-10-29 21:54:54,Suburbs,92,44,Rainy,None,110,210.4
2025-10-29 00:50:54,Suburbs,49,32,Foggy,None,140,177.1
2025-11-04 00:19:54,Suburbs,58,42,Foggy,None,110,125.92
2025-11-07 21:59:54,Tech Park,82,64,Cloudy,None,137,145.91
2025-11-06 11:39:54,Tech Park,55,48,Clear,None,126,126.0
2025-11-16 11:32:54,City Center,84,77,Clear,None,106,106.0
2025-11-04 15:40:54,City Center,116,69,Cloudy,Conference,106,146.8
2025-10-31 14:53:54,Airport,63,62,Clear,None,101,101.0
2025-11-04 09:24:54,Suburbs,37,32,Clear,None,130,130.0
2025-11-21 04:02:54,City Center,121,85,Rainy,None,123,169.6
2025-10-30 09:25:54,City Center,80,81,Cloudy,None,109,109.0
2025-10-29 22:44:54,City Center,65,40,Clear,None,125,167.5
2025-11-03 09:22:54,Suburbs,62,32,Rainy,None,110,196.9
2025-11-19 14:07:54,Tech Park,52,60,Clear,None,107,107.0
2025-11-10 20:46:54,Airport,146,108,Rainy,None,105,138.76
2025-11-12 00:38:54,Tech Park,42,43,Clear,None,111,111.0
2025-10-30 18:43:54,Airport,100,104,Clear,None,128,128.0
2025-10-25 05:53:54,Airport,90,107,Clear,None,140,140.0
2025-11-10 10:15:54,Airport,55,41,Clear,None,111,123.56
2025-10-28 11:22:54,Mall,53,56,Clear,None,123,123.0
2025-11-03 05:19:54,Suburbs,50,57,Clear,None,105,105.0
2025-11-01 01:58:54,Mall,57,62,Clear,None,132,132.0
2025-11-11 16:47:54,Tech Park,53,48,Clear,None,136,136.0
2025-10-26 20:05:54,City Center,144,137,Foggy,None,105,105.0
2025-11-17 14:21:54,Suburbs,53,56,Cloudy,None,135,135.0
2025-11-01 08:25:54,City Center,94,81,Clear,None,111,111.0
2025-11-06 08:53:54,Suburbs,54,37,Clear,None,142,171.47
2025-10-27 20:33:54,Suburbs,103,76,Rainy,None,119,157.58
2025-11-06 17:34:54,Mall,56,41,Clear,None,136,154.04
2025-11-12 08:01:54,City Center,85,75,Clear,None,142,142.0
